gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Topic
F,KW,KuwaIT,lowerlevel,G-04,A,S,Father,80,100,80,80,No,Good,Under-7,History
F,KW,KuwaIT,lowerlevel,G-04,A,S,Father,100,100,100,100,Yes,Good,Under-7,History
M,KW,KuwaIT,lowerlevel,G-04,A,S,Mum,80,40,20,20,No,Bad,Above-7,English
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,20,20,20,20,No,Bad,Above-7,History
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,80,100,100,80,Yes,Bad,Above-7,History
F,KW,KuwaIT,lowerlevel,G-04,A,S,Mum,40,40,60,40,Yes,Good,Above-7,History
M,Egypt,Egypt,lowerlevel,G-04,A,S,Mum,60,100,60,20,No,Bad,Above-7,Math
F,Jordan,Jordan,MiddleSchool,G-06,A,F,Mum,80,80,60,40,No,Bad,Under-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,S,Mum,80,100,100,40,No,Bad,Under-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,F,Father,20,100,20,20,Yes,Good,Above-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,S,Father,20,80,40,40,Yes,Good,Above-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,F,Father,20,20,20,20,Yes,Bad,Above-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,S,Father,20,40,100,100,Yes,Bad,Above-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,F,Mum,100,100,60,40,No,Good,Under-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,S,Mum,100,100,40,40,No,Good,Under-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,F,Father,60,40,20,20,No,Bad,Under-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,S,Father,40,100,20,40,No,Bad,Under-7,English
F,lebanon,lebanon,MiddleSchool,G-06,A,F,Mum,100,100,100,80,Yes,Good,Under-7,English
F,lebanon,lebanon,MiddleSchool,G-06,A,S,Mum,100,80,100,100,Yes,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,F,Mum,80,40,40,40,Yes,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,S,Mum,100,40,60,40,Yes,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,F,Mum,100,40,60,40,No,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,S,Mum,80,60,60,40,No,Good,Under-7,English
M,Iraq,Iraq,MiddleSchool,G-06,A,F,Mum,80,80,60,40,No,Good,Under-7,English
M,Iraq,Iraq,MiddleSchool,G-06,A,S,Mum,80,100,60,40,No,Good,Under-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,F,Mum,100,100,80,100,No,Good,Under-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,S,Mum,100,100,100,100,No,Good,Under-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,F,Father,100,40,40,40,No,Bad,Above-7,English
M,Jordan,Jordan,MiddleSchool,G-06,A,S,Father,60,40,40,40,Yes,Bad,Above-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,F,Mum,60,80,100,100,Yes,Good,Under-7,English
F,Jordan,Jordan,MiddleSchool,G-06,A,S,Mum,100,80,100,100,Yes,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,F,Mum,80,80,80,80,Yes,Good,Under-7,English
M,Palestine,Jordan,MiddleSchool,G-06,A,S,Mum,80,80,80,100,Yes,Good,Under-7,English
F,Jordan,Jordan,lowerlevel,G-04,A,F,Father,60,40,40,60,No,Bad,Above-7,Science
F,Jordan,Jordan,lowerlevel,G-04,A,S,Father,60,40,20,40,No,Bad,Above-7,Science
F,Palestine,Palestine,lowerlevel,G-04,A,F,Mum,100,100,100,80,Yes,Good,Under-7,Science
F,Palestine,Palestine,lowerlevel,G-04,A,S,Mum,80,80,80,100,Yes,Good,Under-7,Science
M,Iraq,Iraq,lowerlevel,G-04,A,F,Father,100,100,100,80,Yes,Good,Above-7,Science
M,Iraq,Iraq,lowerlevel,G-04,A,S,Father,80,80,80,100,Yes,Good,Above-7,Science
F,Jordan,Jordan,lowerlevel,G-04,A,F,Mum,100,100,100,100,No,Good,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-04,A,S,Mum,80,80,100,100,No,Good,Under-7,Science
M,Jordan,Jordan,lowerlevel,G-04,A,F,Father,20,20,40,40,No,Good,Above-7,Science
M,Jordan,Jordan,lowerlevel,G-04,A,S,Father,40,20,40,40,No,Good,Above-7,Science
M,Jordan,Jordan,lowerlevel,G-04,A,F,Father,20,20,100,20,No,Bad,Above-7,Science
M,Jordan,Jordan,lowerlevel,G-04,A,S,Father,40,40,20,20,No,Bad,Above-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,F,Mum,20,100,40,40,No,Bad,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,S,Mum,20,60,40,40,No,Bad,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,F,Father,20,60,40,60,Yes,Bad,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,S,Father,40,60,40,100,Yes,Bad,Under-7,Science
M,Jordan,Jordan,lowerlevel,G-04,B,F,Mum,80,60,80,100,Yes,Good,Under-7,Science
M,Jordan,Jordan,lowerlevel,G-04,B,S,Mum,80,80,60,100,Yes,Good,Under-7,Science
M,Palestine,Jordan,lowerlevel,G-04,B,F,Mum,100,60,80,100,Yes,Good,Above-7,Science
M,Palestine,Jordan,lowerlevel,G-04,B,S,Mum,100,100,80,80,Yes,Good,Above-7,Science
M,Jordan,Jordan,lowerlevel,G-04,B,F,Father,40,40,40,40,No,Good,Above-7,Science
M,Jordan,Jordan,lowerlevel,G-04,B,S,Father,60,40,40,40,No,Good,Above-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,F,Mum,60,80,60,60,Yes,Good,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-04,B,S,Mum,80,80,80,60,Yes,Good,Under-7,Science
F,Jordan,lebanon,lowerlevel,G-04,B,F,Mum,80,100,80,100,Yes,Good,Under-7,Science
F,Jordan,lebanon,lowerlevel,G-04,B,S,Mum,80,100,100,100,Yes,Good,Under-7,Science
M,Jordan,Jordan,lowerlevel,G-02,A,F,Mum,100,100,100,40,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,S,Mum,60,100,100,20,Yes,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,F,Mum,100,100,20,20,Yes,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,S,Mum,60,100,40,20,Yes,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,F,Mum,100,100,40,20,Yes,Good,Above-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,S,Mum,60,100,100,20,Yes,Good,Above-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,20,20,20,40,No,Bad,Above-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,40,20,100,20,No,Bad,Above-7,French
M,Syria,Syria,lowerlevel,G-02,A,F,Father,40,40,20,40,No,Bad,Under-7,French
M,Syria,Syria,lowerlevel,G-02,A,S,Father,40,100,40,40,No,Bad,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,20,20,20,40,No,Bad,Above-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,40,20,100,20,No,Bad,Above-7,French
F,Jordan,Palestine,lowerlevel,G-02,A,F,Mum,100,80,80,100,Yes,Good,Under-7,French
F,Jordan,Palestine,lowerlevel,G-02,A,S,Mum,80,100,80,100,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,100,20,60,60,No,Good,Above-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,40,20,40,40,No,Good,Above-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,F,Mum,20,100,40,40,No,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,A,S,Mum,40,100,40,40,No,Good,Under-7,French
M,Lybia,Lybia,lowerlevel,G-02,A,F,Mum,20,20,20,20,No,Good,Above-7,French
M,Lybia,Lybia,lowerlevel,G-02,A,S,Mum,20,20,20,20,No,Good,Above-7,French
F,Palestine,Jordan,lowerlevel,G-02,A,F,Mum,80,100,100,40,No,Good,Under-7,French
F,Palestine,Jordan,lowerlevel,G-02,A,S,Mum,80,100,20,100,No,Good,Under-7,French
F,Palestine,Jordan,lowerlevel,G-02,B,F,Father,80,100,20,20,No,Good,Under-7,French
F,Palestine,Jordan,lowerlevel,G-02,B,S,Father,80,100,20,20,No,Good,Under-7,French
F,Iraq,Iraq,lowerlevel,G-02,B,F,Father,20,100,20,20,No,Good,Under-7,French
F,Iraq,Iraq,lowerlevel,G-02,B,S,Father,20,100,20,20,No,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,100,100,60,60,No,Bad,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,40,40,No,Bad,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,20,100,20,20,No,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,20,100,100,40,No,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,20,20,No,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,100,40,No,Good,Under-7,French
M,Lybia,Lybia,lowerlevel,G-02,B,F,Mum,100,20,20,20,No,Good,Above-7,French
M,Lybia,Lybia,lowerlevel,G-02,B,S,Mum,20,20,20,20,No,Good,Above-7,French
M,Egypt,Egypt,lowerlevel,G-02,B,F,Mum,20,20,20,20,No,Good,Above-7,French
M,Egypt,Egypt,lowerlevel,G-02,B,S,Mum,20,20,20,20,No,Good,Above-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,20,100,100,20,Yes,Good,Under-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,40,20,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,40,100,60,40,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,60,40,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,F,Father,40,100,40,40,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,S,Father,40,100,40,40,Yes,Good,Under-7,French
F,lebanon,lebanon,lowerlevel,G-02,B,F,Mum,80,100,60,20,Yes,Good,Under-7,French
F,lebanon,lebanon,lowerlevel,G-02,B,S,Mum,80,100,60,20,Yes,Good,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,100,100,40,40,Yes,Good,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,20,100,60,40,Yes,Good,Above-7,Arabic
M,Palestine,Jordan,lowerlevel,G-02,A,F,Father,100,100,60,40,Yes,Good,Under-7,Arabic
M,Palestine,Jordan,lowerlevel,G-02,A,S,Father,100,100,60,40,Yes,Good,Under-7,Arabic
M,Iraq,Iraq,lowerlevel,G-02,A,F,Father,100,100,40,40,Yes,Good,Under-7,Arabic
M,Iraq,Iraq,lowerlevel,G-02,A,S,Father,80,80,40,40,Yes,Good,Under-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,20,20,80,40,Yes,Good,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,20,60,60,60,Yes,Good,Above-7,Arabic
F,Palestine,Jordan,lowerlevel,G-02,A,F,Mum,100,100,100,40,No,Good,Under-7,Arabic
F,Palestine,Jordan,lowerlevel,G-02,A,S,Mum,80,100,60,40,No,Good,Under-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,A,F,Father,20,20,60,40,No,Bad,Under-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,A,S,Father,40,20,40,40,No,Bad,Under-7,Arabic
F,Jordan,Jordan,lowerlevel,G-02,A,F,Father,20,100,40,100,No,Bad,Above-7,Arabic
F,Jordan,Jordan,lowerlevel,G-02,A,S,Father,20,20,20,100,No,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,F,Father,20,20,100,60,No,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,S,Father,40,20,40,40,No,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,100,100,60,80,Yes,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,40,100,60,80,Yes,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,F,Father,20,40,60,100,Yes,Bad,Above-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,S,Father,20,40,60,100,Yes,Bad,Above-7,Arabic
F,Jordan,Jordan,lowerlevel,G-02,B,F,Father,20,100,100,100,No,Bad,Above-7,Arabic
F,Jordan,Jordan,lowerlevel,G-02,B,S,Father,20,20,40,100,No,Bad,Above-7,Arabic
M,Iraq,Iraq,lowerlevel,G-02,B,F,Mum,80,100,100,40,Yes,Good,Under-7,Arabic
M,Iraq,Iraq,lowerlevel,G-02,B,S,Mum,80,100,40,40,Yes,Good,Under-7,Arabic
F,Iraq,Iraq,lowerlevel,G-02,B,F,Mum,100,100,100,40,Yes,Good,Under-7,Arabic
F,Iraq,Iraq,lowerlevel,G-02,B,S,Mum,80,100,60,40,Yes,Good,Under-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,20,100,40,100,Yes,Good,Under-7,Arabic
M,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,100,80,40,100,Yes,Good,Under-7,Arabic
M,Jordan,SaudiArabia,lowerlevel,G-02,B,F,Mum,20,20,20,20,No,Good,Above-7,Arabic
M,Jordan,SaudiArabia,lowerlevel,G-02,B,S,Mum,20,20,20,20,No,Good,Above-7,Arabic
F,Jordan,Jordan,MiddleSchool,G-07,A,F,Mum,100,100,60,20,Yes,Good,Above-7,Biology
F,Jordan,Jordan,MiddleSchool,G-07,A,S,Mum,100,100,60,20,Yes,Good,Above-7,Biology
F,Iraq,Iraq,MiddleSchool,G-07,A,F,Mum,100,100,60,100,Yes,Good,Under-7,Biology
F,Iraq,Iraq,MiddleSchool,G-07,A,S,Mum,100,100,60,40,Yes,Good,Under-7,Biology
M,Jordan,Palestine,MiddleSchool,G-07,A,F,Mum,80,100,60,100,Yes,Good,Under-7,Biology
M,Jordan,Palestine,MiddleSchool,G-07,A,S,Mum,80,100,60,80,Yes,Good,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Father,100,100,60,80,Yes,Bad,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,S,Father,100,100,60,80,Yes,Bad,Under-7,Biology
M,Palestine,Palestine,MiddleSchool,G-07,A,F,Father,100,100,100,100,Yes,Good,Under-7,Biology
M,Palestine,Palestine,MiddleSchool,G-07,A,S,Father,100,100,100,100,Yes,Good,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Father,40,80,100,40,No,Good,Above-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,S,Father,40,100,40,40,No,Good,Above-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Father,80,100,100,100,No,Good,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,S,Father,80,100,80,100,No,Good,Under-7,Biology
F,Syria,Syria,MiddleSchool,G-07,A,F,Mum,100,100,80,80,Yes,Good,Under-7,Biology
F,Syria,Syria,MiddleSchool,G-07,A,S,Mum,100,100,100,80,Yes,Good,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Mum,20,20,20,20,No,Bad,Above-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,A,S,Mum,20,20,20,20,No,Bad,Above-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,B,F,Father,60,80,20,40,No,Bad,Under-7,Biology
M,Jordan,Jordan,MiddleSchool,G-07,B,S,Father,60,100,20,40,No,Bad,Under-7,Biology
F,Jordan,Jordan,MiddleSchool,G-07,B,F,Mum,80,100,20,40,No,Good,Under-7,Biology
F,Jordan,Jordan,MiddleSchool,G-07,B,S,Mum,60,100,20,60,No,Good,Under-7,Biology
M,Palestine,Jordan,MiddleSchool,G-07,B,F,Father,80,100,80,60,Yes,Good,Under-7,Biology
M,Palestine,Jordan,MiddleSchool,G-07,B,S,Father,80,80,80,100,Yes,Good,Under-7,Biology
F,Lybia,Lybia,MiddleSchool,G-07,B,F,Mum,20,20,20,20,No,Good,Above-7,Biology
F,Lybia,Lybia,MiddleSchool,G-07,B,S,Mum,20,20,20,20,No,Good,Above-7,Biology
M,Iraq,Iraq,MiddleSchool,G-07,B,F,Father,100,100,100,80,Yes,Good,Under-7,Biology
M,Iraq,Iraq,MiddleSchool,G-07,B,S,Father,100,100,100,100,Yes,Good,Under-7,Biology
M,Palestine,Jordan,MiddleSchool,G-07,B,F,Father,100,100,80,100,Yes,Good,Under-7,Biology
M,Palestine,Jordan,MiddleSchool,G-07,B,S,Father,100,100,100,100,Yes,Good,Under-7,Biology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,40,40,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,40,60,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,80,80,60,60,Yes,Good,Above-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,80,60,60,Yes,Good,Above-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,80,80,80,Yes,Good,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,80,80,80,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,20,Yes,Good,Above-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,80,20,Yes,Good,Above-7,Chemistry
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,F,Father,20,20,20,60,No,Bad,Above-7,Chemistry
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,S,Father,20,20,20,60,No,Bad,Above-7,Chemistry
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,F,Father,100,100,40,80,No,Bad,Under-7,Geology
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,S,Father,100,100,40,80,No,Bad,Under-7,Geology
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,F,Father,100,100,80,100,No,Bad,Under-7,Geology
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,S,Father,100,80,80,100,No,Bad,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,20,Yes,Good,Above-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,100,80,100,Yes,Good,Above-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,40,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,100,80,40,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,20,Yes,Good,Under-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,100,80,40,Yes,Good,Under-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,100,20,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,100,20,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,80,80,80,80,Yes,Good,Above-7,History
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,80,80,80,Yes,Good,Above-7,History
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,80,80,80,40,Yes,Good,Above-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,80,80,100,Yes,Good,Above-7,Chemistry
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,80,100,80,80,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,80,100,80,100,Yes,Good,Under-7,Geology
M,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,100,Yes,Good,Under-7,History
M,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,80,100,Yes,Good,Under-7,History
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,20,100,40,20,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,20,100,100,20,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,40,100,60,100,Yes,Good,Above-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,40,80,100,20,Yes,Good,Above-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,60,100,60,100,Yes,Good,Under-7,History
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,40,100,60,80,Yes,Good,Under-7,History
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,100,100,60,40,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,80,100,60,40,Yes,Good,Under-7,Chemistry
M,Iraq,Iraq,MiddleSchool,G-08,A,F,Father,100,100,100,100,Yes,Good,Under-7,Chemistry
M,Iraq,Iraq,MiddleSchool,G-08,A,S,Father,100,100,100,100,Yes,Good,Under-7,Chemistry
M,Iraq,Iraq,MiddleSchool,G-08,A,F,Father,100,100,100,80,Yes,Good,Above-7,Geology
M,Iraq,Iraq,MiddleSchool,G-08,A,S,Father,80,100,100,80,Yes,Good,Above-7,Geology
M,Iraq,Iraq,MiddleSchool,G-08,A,F,Father,80,100,80,100,Yes,Good,Above-7,History
M,Iraq,Iraq,MiddleSchool,G-08,A,S,Father,80,80,100,100,Yes,Good,Above-7,History
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,60,100,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,60,100,Yes,Good,Under-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Mum,100,100,80,60,Yes,Good,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Mum,100,100,80,100,Yes,Good,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,20,20,20,100,No,Bad,Above-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,20,20,20,100,No,Bad,Above-7,Chemistry
M,Palestine,Jordan,MiddleSchool,G-08,A,F,Father,100,100,100,60,Yes,Good,Under-7,History
M,Palestine,Jordan,MiddleSchool,G-08,A,S,Father,80,100,80,60,Yes,Good,Under-7,History
M,Palestine,Palestine,MiddleSchool,G-08,A,F,Father,100,100,80,80,Yes,Good,Under-7,Geology
M,Palestine,Palestine,MiddleSchool,G-08,A,S,Father,100,100,80,80,Yes,Good,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,20,20,20,20,No,Bad,Above-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,20,20,20,20,No,Bad,Above-7,Chemistry
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,60,80,20,40,No,Bad,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,60,80,40,40,No,Bad,Under-7,Geology
F,Jordan,Jordan,MiddleSchool,G-08,A,F,Father,40,20,20,60,No,Bad,Above-7,History
F,Jordan,Jordan,MiddleSchool,G-08,A,S,Father,40,20,40,80,No,Bad,Above-7,History
